n_thd,100000,10000,1000,100
1,9044249,62041,1401,370
2,6954938,61639,1369,553
4,5911151,61230,1722,1279
8,5113831,59834,2953,2304
16,4075101,58887,4175,3639
32,4006109,57630,5465,5501
64,3954607,55888,8358,7236
128,5177777,53155,14156,9532
256,5459726,92503,23680,10156
512,6559464,86684,37297,10353
1024,6625631,119605,66069,10256
